station,pickup,dropoff,waited,headway
Fire Station,20,26,4,290
Printing Co,23,27,5,380
Mt Vernon,24,23,0,600
Museum EB,26,20,2,230
Amway Grand EB,7,25,0,297
Pearl-Ottawa EB,26,23,4,208
Kendall College,28,24,0,245
Monument Park,18,29,2,414
Division Weston,9,26,0,206
Oakes Commerce,32,20,1,402
Studio Park,21,19,5,106
Van Andel,22,8,8,386
Ionia-Monroe Ctr,25,29,0,155
Pearl-Ottawa WB,25,21,2,286
Amway Grand WB,27,52,5,234
Museum WB,42,10,1,276
YMCA,29,24,0,233
Seward 9S,27,29,0,342
Seward 9C,22,40,5,237
Seward 9N,47,25,15,293
