date,period,bin,count
2020-08-31,morning_commute,0-5,156
2020-08-31,morning_commute,5-10,85
2020-08-31,morning_commute,10-15,32
2020-08-31,morning_commute,15+,35
2020-08-31,off_peak,0-5,420
2020-08-31,off_peak,5-10,332
2020-08-31,off_peak,10-15,129
2020-08-31,off_peak,15+,92
2020-08-31,afternoon_commute,0-5,324
2020-08-31,afternoon_commute,5-10,232
2020-08-31,afternoon_commute,10-15,117
2020-08-31,afternoon_commute,15+,31
2020-09-01,morning_commute,0-5,202
2020-09-01,morning_commute,5-10,33
2020-09-01,morning_commute,10-15,52
2020-09-01,morning_commute,15+,40
2020-09-01,off_peak,0-5,418
2020-09-01,off_peak,5-10,221
2020-09-01,off_peak,10-15,124
2020-09-01,off_peak,15+,133
2020-09-01,afternoon_commute,0-5,244
2020-09-01,afternoon_commute,5-10,215
2020-09-01,afternoon_commute,10-15,128
2020-09-01,afternoon_commute,15+,42
2020-09-02,morning_commute,0-5,127
2020-09-02,morning_commute,5-10,136
2020-09-02,morning_commute,10-15,39
2020-09-02,morning_commute,15+,12
2020-09-02,off_peak,0-5,497
2020-09-02,off_peak,5-10,275
2020-09-02,off_peak,10-15,206
2020-09-02,off_peak,15+,47
2020-09-02,afternoon_commute,0-5,295
2020-09-02,afternoon_commute,5-10,140
2020-09-02,afternoon_commute,10-15,86
2020-09-02,afternoon_commute,15+,84
2020-09-03,morning_commute,0-5,144
2020-09-03,morning_commute,5-10,127
2020-09-03,morning_commute,10-15,30
2020-09-03,morning_commute,15+,21
2020-09-03,off_peak,0-5,367
2020-09-03,off_peak,5-10,298
2020-09-03,off_peak,10-15,175
2020-09-03,off_peak,15+,88
2020-09-03,afternoon_commute,0-5,272
2020-09-03,afternoon_commute,5-10,137
2020-09-03,afternoon_commute,10-15,104
2020-09-03,afternoon_commute,15+,78
2020-09-04,morning_commute,0-5,141
2020-09-04,morning_commute,5-10,129
2020-09-04,morning_commute,10-15,49
2020-09-04,morning_commute,15+,7
2020-09-04,off_peak,0-5,400
2020-09-04,off_peak,5-10,325
2020-09-04,off_peak,10-15,153
2020-09-04,off_peak,15+,79
2020-09-04,afternoon_commute,0-5,265
2020-09-04,afternoon_commute,5-10,168
2020-09-04,afternoon_commute,10-15,77
2020-09-04,afternoon_commute,15+,86
2020-09-08,morning_commute,0-5,235
2020-09-08,morning_commute,5-10,111
2020-09-08,morning_commute,10-15,30
2020-09-08,morning_commute,15+,14
2020-09-08,off_peak,0-5,557
2020-09-08,off_peak,5-10,335
2020-09-08,off_peak,10-15,178
2020-09-08,off_peak,15+,49
2020-09-08,afternoon_commute,0-5,287
2020-09-08,afternoon_commute,5-10,235
2020-09-08,afternoon_commute,10-15,132
2020-09-08,afternoon_commute,15+,22
2020-09-09,morning_commute,0-5,219
2020-09-09,morning_commute,5-10,125
2020-09-09,morning_commute,10-15,32
2020-09-09,morning_commute,15+,9
2020-09-09,off_peak,0-5,464
2020-09-09,off_peak,5-10,276
2020-09-09,off_peak,10-15,202
2020-09-09,off_peak,15+,60
2020-09-09,afternoon_commute,0-5,270
2020-09-09,afternoon_commute,5-10,178
2020-09-09,afternoon_commute,10-15,80
2020-09-09,afternoon_commute,15+,87
2020-09-10,morning_commute,0-5,183
2020-09-10,morning_commute,5-10,99
2020-09-10,morning_commute,10-15,41
2020-09-10,morning_commute,15+,16
2020-09-10,off_peak,0-5,371
2020-09-10,off_peak,5-10,280
2020-09-10,off_peak,10-15,208
2020-09-10,off_peak,15+,69
2020-09-10,afternoon_commute,0-5,285
2020-09-10,afternoon_commute,5-10,162
2020-09-10,afternoon_commute,10-15,150
2020-09-10,afternoon_commute,15+,46
2020-09-11,morning_commute,0-5,166
2020-09-11,morning_commute,5-10,92
2020-09-11,morning_commute,10-15,55
2020-09-11,morning_commute,15+,23
2020-09-11,off_peak,0-5,415
2020-09-11,off_peak,5-10,305
2020-09-11,off_peak,10-15,152
2020-09-11,off_peak,15+,83
2020-09-11,afternoon_commute,0-5,340
2020-09-11,afternoon_commute,5-10,146
2020-09-11,afternoon_commute,10-15,64
2020-09-11,afternoon_commute,15+,91
2020-09-14,morning_commute,0-5,204
2020-09-14,morning_commute,5-10,84
2020-09-14,morning_commute,10-15,60
2020-09-14,morning_commute,15+,17
2020-09-14,off_peak,0-5,452
2020-09-14,off_peak,5-10,238
2020-09-14,off_peak,10-15,217
2020-09-14,off_peak,15+,76
2020-09-14,afternoon_commute,0-5,281
2020-09-14,afternoon_commute,5-10,177
2020-09-14,afternoon_commute,10-15,111
2020-09-14,afternoon_commute,15+,58
2020-09-15,morning_commute,0-5,200
2020-09-15,morning_commute,5-10,45
2020-09-15,morning_commute,10-15,62
2020-09-15,morning_commute,15+,24
2020-09-15,off_peak,0-5,431
2020-09-15,off_peak,5-10,195
2020-09-15,off_peak,10-15,141
2020-09-15,off_peak,15+,139
2020-09-15,afternoon_commute,0-5,274
2020-09-15,afternoon_commute,5-10,169
2020-09-15,afternoon_commute,10-15,93
2020-09-15,afternoon_commute,15+,78
2020-09-16,morning_commute,0-5,187
2020-09-16,morning_commute,5-10,63
