Device,Trip,StartTime,Endtime,StartLocalTimeOrg,EndLocalTimeOrg,TripStartTimeUTC,TripStart,TodTripStart
2004,12,12850,186250,80077954,81940934,1539036877954,43381.92682816358,43381.71849516358
2004,14,11900,183650,78425616,80262755,1539121625616,43382.907703896606,43382.699370896604
2004,35,100,721250,49876097,57089258,1539611476097,43388.577269637346,43388.368936637344
2004,40,5250,159700,43054731,44777632,1540295854731,43396.49831863426,43396.289985634256
2004,46,2400,174650,40052729,41915393,1540379252729,43397.463573263885,43397.25524026388
2004,52,2350,164300,42602703,44367690,1540554602703,43399.49308684414,43399.284753844135
2004,53,25200,193650,76951388,78888434,1540588951388,43399.89064104938,43399.68230804938
2004,74,100,178150,42959223,44889249,1540900559223,43403.49721323302,43403.28888023302
2004,80,100,162000,42873131,44614761,1540986873131,43404.496216782405,43404.2878837824
2004,92,50,96200,76295154,77257122,1541193095154,43406.88304575617,43406.67471275617
2004,97,2050,164050,67951230,69592218,1541271151230,43407.786472569445,43407.57813956944
2004,107,100,195050,45056971,47137718,1541507456971,43410.521492708336,43410.313159708334
2004,119,16200,195900,80578688,82538519,1541802178688,43413.93262368827,43413.72429068827
2004,142,14000,133800,1221888,3010588,1542154821888,43418.01414220679,43417.80580920679
2004,161,1200,193500,46911729,49001190,1542632511729,43423.54295983796,43423.33462683796
2004,164,100,163900,43961483,45722194,1542715961483,43424.508813464505,43424.3004804645
2004,186,100,181300,46560203,48511035,1543323360203,43431.538891242286,43431.33055824228
2004,187,24000,204900,80334893,82384394,1543357134893,43431.929802006176,43431.721469006174
2004,196,15200,180950,81419845,83229948,1543531019845,43433.94235933642,43433.73402633642
2004,213,1350,179650,46880728,48802398,1543842080728,43437.542601003086,43437.334268003084
