Rank,Team,Rating,Wins,Losses,Schedl,SchedlRank,WvsTop25,LvsTop25,WvsTop50,LvsTop50,Predictor,Predictor_Rank,Golden_Mean,Golden_Mean_Rank,Recent,Recent_Rank
1,Kentucky,94.54,17,3,77.72,27,1,2,4,2,94.88,2,94.00,1,93.79,3
2,West Virginia,94.48,16,4,74.77,64,3,0,5,2,95.02,1,93.71,2,93.48,4
3,North Carolina,93.74,18,3,78.24,19,2,1,7,2,94.03,3,93.27,5,93.02,5
4,Gonzaga,93.29,21,0,71.94,130,4,0,4,0,93.07,5,93.62,4,93.91,1
5,Louisville,93.18,17,4,80.00,6,4,4,6,4,93.39,4,92.80,6,92.71,8
6,Villanova,93.09,19,2,78.27,18,4,1,6,2,92.72,7,93.70,3,93.86,2
7,Virginia,92.68,16,3,78.07,21,2,2,4,2,92.84,6,92.40,8,92.29,9
8,Kansas,92.13,18,2,78.56,15,2,1,6,2,91.78,8,92.72,7,92.74,7
9,Wisconsin,91.31,17,3,77.25,33,0,3,6,3,91.17,10,91.49,10,91.38,10
10,Baylor,91.12,18,1,79.96,7,4,1,10,1,90.50,12,92.31,9,92.83,6
11,Duke,91.08,15,5,76.03,46,1,3,3,4,91.51,9,90.41,11,89.87,14
12,Purdue,90.85,17,4,75.64,51,2,2,3,3,91.15,11,90.35,12,90.13,13
13,Oregon,90.04,18,2,75.52,54,1,1,3,2,89.90,13,90.23,14,90.29,12
14,Arizona,89.29,19,2,75.83,48,1,2,4,2,88.75,18,90.27,13,90.68,11
15,Florida,89.17,15,5,78.53,16,0,3,2,4,89.32,15,88.89,18,88.79,18
16,Cincinnati,88.94,18,2,73.37,90,2,1,3,1,88.82,17,89.10,16,89.14,16
17,UCLA,88.90,19,3,75.00,61,1,2,3,3,88.84,16,88.95,17,89.10,17
18,Wichita State,88.46,17,4,71.79,134,0,1,0,4,89.35,14,87.24,23,86.69,24
19,Butler,88.31,18,3,79.86,8,4,1,9,1,87.85,21,89.12,15,89.64,15
20,Iowa State,88.29,13,6,78.62,14,0,4,4,5,88.65,19,87.70,22,87.43,22
21,Florida State,88.04,18,3,76.77,36,5,1,8,1,87.88,20,88.26,19,88.49,19
22,Notre Dame,87.84,17,4,77.41,31,1,4,6,4,87.65,22,88.11,20,88.24,20
23,Creighton,87.55,17,3,77.57,29,3,1,3,3,87.23,23,88.07,21,88.22,21
24,Xavier-Ohio,86.72,14,6,79.07,11,0,5,5,5,86.60,24,86.86,24,86.76,23
25,Saint Mary's-Cal.,86.15,18,2,70.76,179,0,1,1,1,86.14,28,86.11,26,86.21,26
26,South Carolina,86.14,15,4,77.47,30,1,1,3,2,86.12,29,86.12,25,86.34,25
27,SMU,86.12,18,4,73.75,80,0,1,1,3,86.27,27,85.83,27,85.82,27
28,Indiana,86.06,14,7,74.74,65,2,3,3,5,86.40,25,85.51,29,85.08,31
29,Oklahoma State,86.05,11,8,81.14,1,1,5,4,7,86.29,26,85.62,28,85.56,28
30,Kansas State,85.16,15,5,74.19,73,1,3,2,5,85.04,31,85.31,30,85.55,29
31,Michigan,84.96,14,7,76.39,42,0,2,3,5,85.01,32,84.82,32,84.66,34
32,Marquette,84.94,14,6,77.26,32,2,3,3,4,85.11,30,84.63,33,84.82,33
33,Northwestern,84.78,17,4,74.85,62,0,2,2,4,84.54,33,85.14,31,85.44,30
34,Clemson,83.93,11,8,80.28,4,0,5,2,6,84.16,36,83.52,38,83.44,39
35,Utah,83.93,12,6,74.30,69,0,5,1,5,84.19,34,83.48,39,83.45,38
36,Miami-Florida,83.89,13,6,74.15,74,0,4,0,6,84.17,35,83.42,40,83.21,43
37,Dayton,83.88,14,4,74.24,71,0,1,0,2,83.79,39,83.99,35,83.96,36
38,TCU,83.76,13,6,77.86,24,1,3,2,6,84.10,37,83.21,41,83.29,42
39,Minnesota,83.53,15,6,76.71,38,1,2,3,4,83.35,40,83.79,36,84.07,35
