date,value,Notes
11/21/2016,2.4,
11/22/2016,3.3,
11/23/2016,1.1,
11/24/2016,4.2,
11/25/2016,2.6,
11/26/2016,4.2,
11/27/2016,4.0,
11/28/2016,3.1,
11/29/2016,1.8,
11/30/2016,2.6,
12/1/2016,3.6,
12/2/2016,3.6,
12/3/2016,4.2,
12/4/2016,3.9,
12/5/2016,3.7,
12/6/2016,4.2,
12/7/2016,4.4,
12/8/2016,5.6,
12/9/2016,5.3,
12/10/2016,5.9,
12/11/2016,5.8,
12/12/2016,5.4,
12/13/2016,5.7,
12/14/2016,6.8,new billing cycle
12/15/2016,6.7,
12/16/2016,6.4,
12/17/2016,6.1,
12/18/2016,6.2,
12/19/2016,6.1,
12/20/2016,6.3,
12/21/2016,5.4,
12/22/2016,3.0,
12/23/2016,2.6,
12/24/2016,2.1,
12/25/2016,2.7,
12/26/2016,2.0,
12/27/2016,3.1,
12/28/2016,2.7,
12/29/2016,3.3,
12/30/2016,6.5,
12/31/2016,4.1,
1/1/2017,4.92,
1/2/2017,4.38,
1/3/2017,3.82,
1/4/2017,5.54,
1/5/2017,6.18,
1/6/2017,6.7,
1/7/2017,8.34,
1/8/2017,7.68,
1/9/2017,5.54,
1/10/2017,4.56,
1/11/2017,4.22,
1/12/2017,3.62,
1/13/2017,5.04,
1/14/2017,5.92,
1/15/2017,5.92,
1/16/2017,5.58,
1/17/2017,4.44,
1/18/2017,3.6,new billing cycle
1/19/2017,3.76,
1/20/2017,3.01,
1/21/2017,3.42,
1/22/2017,2.82,
1/23/2017,2.66,
1/24/2017,3.12,
1/25/2017,3.68,
1/26/2017,3.86,
1/27/2017,4.52,
1/28/2017,6.02,
1/29/2017,5.2,
1/30/2017,4.9,
1/31/2017,4.64,
2/1/2017,4.14,
2/2/2017,4.64,
2/3/2017,5.9,
2/4/2017,6.22,
2/5/2017,4.94,
2/6/2017,4.3,
2/7/2017,3.44,
2/8/2017,4.3,
2/9/2017,5.18,
2/10/2017,5.56,
2/11/2017,3.94,
2/12/2017,3.82,
